searchterms,exclusionterms,cols
antihistamine,eye drops,description
allergy relief,injection,
allergy tablet,cream,
antazoline,nasal,
carbinoxamine,spray,
diphenhydramine,ointment,
pyrrobutamine,pastille,
tripelennamine,,
brompheniramine,,
mepyramine,,
methapyrilene,,
triprolidine,,
dexchlorpheniramine,,
hydroxyzine,,
clemastine,,
chlorphenamine,,
fexofenadine,,
levocabastine,,
ketotifen,,
chlorpheniramine,,
phenyltoloxamine,,
meclozine,,
pheniramine,,
loratadine,,
dexbrompheniramine,,
dimetindene,,
bromazine,,
diphenylpyraline,,
piprinhydrinate,,
homochlorcyclizine,,
clocinizine,,
bromodiphenhydramine,,
Semprex,,
Benadryl,,
Mizollen,,
Mistamine,,
Desloratadine,,
Neoclarityn,,
Midetorin,,
Levocetirizine,,
Xyzal,,
Contac 400,,
Rupatadine,,
Rupafin,,
Ilaxten,,
Ketotifen,,
Zaditen,,
Optimine,,
Loratadine,,
Clarityn,,
Boots One A Day Allergy Relief,,
Hay-Rite Allergy,,
Galpharm Non-Drowsy Hayfever and Allergy Relief,,
Galpharm Non-Drowsy Allergy Relief,,
Lloydspharmacy Non-Drowsy Allergy Relief,,
Roletra,,
Numark Allergy & Hayfever,,
Lorapaed Allergy Relief,,
Fexofenadine,,
Telfast,,
Brompheniramine,,
Dimotane,,
Dimegan,,
Chlorphenamine,,
Piriton,,
Piriton Allergy,,
Calimal,,
Boots Allergy Relief,,
Boots Allergy Relief Antihistamine,,
Rhino-Syrup Allergy,,
Pollenase Antihistamine,,
Pollenase Allergy,,
Allerief,,
Hayleve,,
Lloydspharmacy Allergy Relief Antihistamine,,
Lloydspharmacy Allergy Relief,,
ALLERcalm Allergy Relief,,
Numark Antihistamine,,
Tavegil,,
Cetirizine,,
Zirtek,,
Zirtek Allergy,,
Zirtek Allergy Relief for Children,,
Zirtek Allergy Relief,,
Cetirocol,,
Piriteze Allergy,,
Galpharm Hayfever and Allergy Relief,,
AllerTek,,
Cetec,,
Pollenshield Hayfever Relief,,
Pollenshield Hayfever,,
Numark Hayfever & Allergy Relief,,
Lloydspharmacy Hayfever and Allergy Relief,,
Care Hayfever and Allergy oral solution (Thornton & Ross Ltd),,
Allacan,,
BecoAllergy,,
Ziralton Allergy Relief for Children,,
Hydroxyzine,,
Atarax,,
Ucerax,,
Cyproheptadine,,
Periactin,,
Diphenhydramine,,
Histergan,,
Nytol,,
Sleepeaze,,
Nightcalm,,
Numark Night Time Sleep Aid,,
Lloydspharmacy Extra Strength Sleep Aid,,
Paxidorm,,
Dreemon,,
Tixycolds,,
Care Night Time Sleep Aid,,
Galpharm One a Night Nightcalm,,
Lunox Sleep Aid,,
Lunox Max Strength Sleep Aid,,
Sleep Aid,,
Promethazine,,
Phenergan,,
Phenergan Nightime,,
Sominex,,
Terfenadine,,
Triludan Forte,,
Alimemazine,,
Vallergan,,
Acrivastine,,
Pseudoephedrine,,
Mizolastine,,
Phenylpropanolamine,,
Bilastine,,
Azatadine,,
Clemastine,,
