searchterms,exclusionterms,searched_in_column,searchmethod
Serevent,tablets,description,default stringr::str_detect() search method
Easyhaler,infusion,,
Salmeterol,cream,,
Bricanyl,ointment,,
Budesonide,lotion,,
Salbutamol,syrup,,
Ipratropium,nasal,,
Seretide,injection,,
Ventolin,enema,,
Symbicort,ileostomy,,
Pulmicort,paraffin,,
Clenil,granules,,
Beclometasone,eye drops,,
Salamol,oral,,
Combivent,iontophoresis,,
Flixotide,suppositories,,
Becodisks,topical,,
Becotide,modified-release capsule,,
Ipramol,mg capsules,,
Terbutaline,Glycopyrronium bromide 1% solution,,
Intal,Glycopyrronium bromide 0.5% solution,,
Formoterol,,,
Cromosol,,,
Fostair,,,
Beclazone,,,
Salbulin,,,
Cromoglicate,,,
Oxis,,,
Qvar,,,
Atrovent,,,
Duovent,,,
Fluticasone,,,
Foradil,,,
Salipraneb,,,
Tilade,,,
Alvesco,,,
Asmavent,,,
Neovent,,,
Asmanex,,,
Flutiform,,,
AirSalb,,,
Vertine,,,
Relvar,,,
DuoResp,,,
Berodual,,,
Fenoterol,,,
Sirdupla,,,
Atimos,,,
Ventodisks,,,
Becloforte,,,
Asmabec,,,
Pulvinal,,,
Filair,,,
AeroBec,,,
Asmasal,,,
Ventide,,,
Nedocromil,,,
Airomir,,,
Tropiovent,,,
Respontin,,,
Aerocrom,,,
Aerolin,,,
Soltel,,,
Aerivio,,,
Maxivent,,,
Sereflo,,,
AirFluSal,,,
Aloflute,,,
Fobumix,,,
Inhalvent,,,
Kelhale,,,
Fusacomb,,,
Combisal,,,
Soprobec,,,
Stalpex,,,
Cromogen,,,
Ipravent,,,
Combiprasal,,,
Mometasone,,,
Nuelin,,,
Berotec,,,
Budelin,,,
Ciclesonide,,,
Volmax,,,
Ventmax,,,
Aminophylline,,,
Phyllocontin,,,
Bambuterol,,,
Bambec,,,
Theophylline,,,
Slo-Phyllin,,,
Theo-Dur,,,
Uniphyllin,,,
Monovent,,,
Salapin,,,
Oxitropium,,,
Oxivent,,,
Fixkoh,,,
Amnivent-225,,,
Norphyllin,,,
Tiotropium,,,
Spiriva,,,
Franol,,,
Indacaterol,,,
Onbrez,,,
Aclidinium,,,
Eklira,,,
Glycopyrronium,,,
Seebri,,,
Olodaterol,,,
Striverdi,,,
Umeclidinium,,,
Anoro,,,
Incruse,,,
Ultibro,,,
Duaklir,,,
Spiolto,,,
Yanimo,,,
Braltus,,,
Trimbow,,,
Trelegy,,,
Atectura,,,
Enerzair,,,
Trixeo,,,
Bevespi,,,
