searchterms,exclusionterms,searched_in_column,searchmethod
emollient,cathartic,description,default stringr::str_detect() search method
moisturi,vaginal,,
White lotion,mouth,,
cetomacrogol,lozenges,,
petrolatum,oromucosal,,
cocoa butter,oral,,
cold cream,pastille,,
E45 lotion,glycopyrronium,,
E45 cream,betamethasone,,
Dermol 500,monobenzone,,
Sodium pidolate 2.5% cream,clobetasol,,
Aveeno,menthol,,
White soft paraffin 50% / Liquid paraffin 50% ointment,salicylic acid,,
The 50:50 Ointment,,,
Pure Health Liquid Paraffin/White Soft Paraffin,,,
White soft paraffin 13.2% /Liquid paraffin light 10.5% cream,,,
White soft paraffin 15% / Liquid paraffin light 6% cream,,,
Oilatum cream,,,
Liquid paraffin 16% lotion,,,
Keri Therapeutic lotion,,,
Alcoderm lotion,,,
Diprobase,,,
Unguentum M cream,,,
White soft paraffin 95% / Liquid paraffin 5% ointment,,,
Isopropyl myristate 15% / Liquid paraffin 15% gel,,,
Doublebase,,,
Ultrabase,,,
White soft paraffin 15% / Dimeticone 1% cream,,,
Vaseline Dermacare cream,,,
Lipobase,,,
Glycerol 40% cream,,,
Neutrogena Norwegian Formula 40% dermatological cream,,,
Generic Vaseline Dermacare lotion,,,
Vaseline Dermacare lotion,,,
Lactic acid 5% / Sodium pidolate 2.5% lotion,,,
LactiCare lotion,,,
Decubal Clinic cream,,,
Zinc oxide 8.1% / Hydrous wool fat 4% cream,,,
Hewletts cream,,,
Alcoderm cream,,,
Imuderm cream,,,
Evening primrose oil 20% cream,,,
Linola Gamma 20% cream,,,
Evening primrose oil 0.87% cream,,,
E45 Lipcare,,,
AquaBar,,,
Allergenics Skin lotion,,,
Eucerin Dry Skin Relief soothing spray,,,
Oilatum lotion,,,
Aveeno Skin Relief moisturising lotion with menthol,,,
Kamillosan baby cream,,,
Eumobase cream,,,
Lotil cream,,,
Vivaderm Daily cream,,,
Vivaderm Ultra cream,,,
Skin Salvation intensive hand cream,,,
Skin Salvation daily moisturising cream,,,
Lotil foot cream,,,
Allergenics Intensive Care ointment,,,
Comfrey and Vitamin E balm,,,
Dermol cream,,,
Chamomile extract 10.5% ointment,,,
Kamillosan Chamomile 10.5% ointment,,,
Cetrimide 0.2% / Benzalkonium chloride 0.1% cream,,,
Neo Baby cream,,,
Glycerol 25% cream,,,
Eumocream 25% cream,,,
Propylene glycol 60% in Aqueous cream,,,
CCS Foot Care cream,,,
White soft paraffin 75% / Liquid paraffin 25% ointment,,,
Propylene glycol 40% in Aqueous cream,,,
Emulsifying ointment 50% / Liquid paraffin 50% ointment,,,
Emulfin ointment,,,
Skin Salvation ointment,,,
E45 Intense Recovery lotion,,,
Propylene glycol 20% in Aqueous cream,,,
Propylene glycol 40% in Generic Unguentum M cream,,,
Eucerin Anti-Redness Calming Night cream,,,
Eucerin Anti-Redness Neutralising Day fluid,,,
E45 Touchably Smooth lotion,,,
E45 Nourish & Restore lotion,,,
Elave body oil,,,
Elave lotion,,,
White soft paraffin 62.5% / Liquid paraffin 37.5% ointment,,,
Eucerin AntiREDNESS concealing day cream SPF25,,,
Propylene glycol 50% in Aqueous cream,,,
Coconut oil 50% in White soft paraffin,,,
Propylene glycol 25% in Aqueous cream,,,
Propylene glycol 40% in Clobetasone 0.05% cream,,,
Propylene glycol 30% in Generic Unguentum M cream,,,
White soft paraffin 15% / Liquid paraffin 6% cream,,,
Emcrem cream,,,
Eucerin AntiREDNESS soothing care cream,,,
Propylene glycol 20% / Lactic acid 3% in Gen Unguentum M crm,,,
Propylene glycol 20% / Lactic acid 5% in Gen Unguentum M crm,,,
Aveeno Daily moisturising hand cream,,,
Eucerin UreaRepair Plus 10% urea lotion,,,
E45 lotion,,,
QV 5% skin lotion,,,
Aquamax cream,,,
Epaderm cream,,,
Epimax original cream,,,
Lipobase cream,,,
Ultrabase cream,,,
Unguentum M cream,,,
ZeroAQS emollient cream,,,
Zerobase 11% cream,,,
Zeroguent cream,,,
Hydromol 2.5% cream,,,
ExmaQS cream,,,
Exmalatum cream,,,
Oilatum Junior cream,,,
Oilatum cream,,,
Cetraben cream,,,
Enopen cream,,,
Epimax excetra cream,,,
Exmaben cream,,,
Soffen cream,,,
QV cream,,,
Epimax moisturising cream,,,
Zerocream,,,
E45 cream,,,
Cetraben ointment,,,
Zeroderm ointment,,,
AquaDerm Hydrous ointment,,,
Hydrous ointment,,,
Hydrous ointment,,,
Emelpin ointment,,,
Epaderm Junior ointment,,,
Epaderm ointment,,,
Hydromol ointment,,,
Thirty:30 ointment,,,
AquaDerm Liquid Paraffin,,,
Bell's Emollient 50 ointment,,,
EmulsifEss ointment,,,
Fifty:50 ointment,,,
KreaMoint 50:50 ointment,,,
Ovelle Petroleum jelly white,,,
Ovelle emulsifying ointment,,,
Pure Health Liquid Paraffin 50% in White Soft Paraffin ointment,,,
Vaseline Pure Petroleum jelly,,,
White soft paraffin 50% / Liquid paraffin 50% ointment,,,
White soft paraffin solid,,,
Yellow soft paraffin solid,,,
AproDerm gel,,,
Doublebase Dayleve gel,,,
Doublebase emollient,,,
Doublebase gel,,,
Epimax isomol gel,,,
Exmabase gel,,,
HypoBase gel,,,
MyriBase emollient,,,
MyriBase gel,,,
Zerodouble gel,,,
Emollin aerosol spray,,,
Adex gel,,,
Cetraben lotion,,,
Doublebase Once gel,,,
