SNOMEDCode,description
'321177003,Zopiclone 3.75mg tablets
'1313311000001106,Zopiclone 3.75mg tablets
'733311000001101,Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd)
'1414011000001100,Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd)
'300111000001100,Zopiclone 3.75mg tablets (Actavis UK Ltd)
'1414311000001102,Zopiclone 3.75mg tablets (Actavis UK Ltd)
'105911000001103,Zopiclone 3.75mg tablets (Teva UK Ltd)
'1414911000001101,Zopiclone 3.75mg tablets (Teva UK Ltd)
'178011000001104,Zimovane LS 3.75mg tablets (Sanofi)
'1415211000001106,Zimovane LS 3.75mg tablets (Sanofi)
'916611000001100,Zopiclone 3.75mg tablets (Mylan)
'1415411000001105,Zopiclone 3.75mg tablets (Mylan)
'328811000001103,Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd)
'1415911000001102,Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd)
'467411000001100,Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd)
'1416411000001101,Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd)
'224011000001106,Zileze 3.75 tablets (Opus Pharmaceuticals Ltd)
'1416511000001102,Zileze 3.75 tablets (Opus Pharmaceuticals Ltd)
'879711000001100,Zopiclone 3.75mg tablets (Alliance Healthcare (Distribution) Ltd)
'1416611000001103,Zopiclone 3.75mg tablets (Alliance Healthcare (Distribution) Ltd)
'9797111000001107,Zopiclone 3.75mg tablets (Almus Pharmaceuticals Ltd)
'9797211000001101,Zopiclone 3.75mg tablets (Almus Pharmaceuticals Ltd)
'10464211000001100,Zimovane LS 3.75mg tablets (Dowelhurst Ltd)
'10464311000001108,Zimovane LS 3.75mg tablets (Dowelhurst Ltd)
'10845611000001104,Zimovane LS 3.75mg tablets (Waymade Healthcare Plc)
'10845711000001108,Zimovane LS 3.75mg tablets (Waymade Healthcare Plc)
'13469511000001102,Zopiclone 3.75mg tablets (Arrow Generics Ltd)
'13469611000001103,Zopiclone 3.75mg tablets (Arrow Generics Ltd)
'15203311000001100,Zopiclone 3.75mg tablets (Sigma Pharmaceuticals Plc)
'15203511000001106,Zopiclone 3.75mg tablets (Sigma Pharmaceuticals Plc)
'17877711000001105,Zopiclone 3.75mg tablets (Phoenix Healthcare Distribution Ltd)
'17878011000001109,Zopiclone 3.75mg tablets (Phoenix Healthcare Distribution Ltd)
'21040311000001106,Zopiclone 3.75mg tablets (Bristol Laboratories Ltd)
'21040411000001104,Zopiclone 3.75mg tablets (Bristol Laboratories Ltd)
'21921811000001101,Zopiclone 3.75mg tablets (Waymade Healthcare Plc)
'21921911000001106,Zopiclone 3.75mg tablets (Waymade Healthcare Plc)
'22655011000001107,Zopiclone 3.75mg tablets (DE Pharmaceuticals)
'22656011000001103,Zopiclone 3.75mg tablets (DE Pharmaceuticals)
'30946711000001106,Zopiclone 3.75mg tablets (Mawdsley-Brooks & Company Ltd)
'30946811000001103,Zopiclone 3.75mg tablets (Mawdsley-Brooks & Company Ltd)
'35195911000001101,Zopiclone 3.75mg tablets (NorthStar Healthcare Unlimited Company)
'35196011000001109,Zopiclone 3.75mg tablets (NorthStar Healthcare Unlimited Company)
'321175006,Zopiclone 7.5mg tablets
'1166611000001103,Zopiclone 7.5mg tablets
'10464011000001105,Zopiclone 7.5mg tablets
'466711000001108,Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd)
'1417011000001108,Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd)
'591711000001108,Zopiclone 7.5mg tablets (Actavis UK Ltd)
'1417111000001109,Zopiclone 7.5mg tablets (Actavis UK Ltd)
'286011000001109,Zopiclone 7.5mg tablets (Teva UK Ltd)
'1417211000001103,Zopiclone 7.5mg tablets (Teva UK Ltd)
'810511000001108,Zimovane 7.5mg tablets (Sanofi)
'1417311000001106,Zimovane 7.5mg tablets (Sanofi)
'20411000001101,Zopiclone 7.5mg tablets (Mylan)
'1417411000001104,Zopiclone 7.5mg tablets (Mylan)
'878811000001101,Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd)
'1417611000001101,Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd)
'254811000001101,Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd)
'1417911000001107,Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd)
'562111000001100,Zileze 7.5 tablets (Opus Pharmaceuticals Ltd)
'1418211000001104,Zileze 7.5 tablets (Opus Pharmaceuticals Ltd)
'88411000001105,Zopiclone 7.5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1418311000001107,Zopiclone 7.5mg tablets (Alliance Healthcare (Distribution) Ltd)
'742511000001104,Zopiclone 7.5mg tablets (Wockhardt UK Ltd)
'2284211000001105,Zopiclone 7.5mg tablets (Wockhardt UK Ltd)
'7378411000001104,Zopiclone 7.5mg tablets (Sandoz Ltd)
'7378511000001100,Zopiclone 7.5mg tablets (Sandoz Ltd)
'9796711000001105,Zopiclone 7.5mg tablets (Almus Pharmaceuticals Ltd)
'9796911000001107,Zopiclone 7.5mg tablets (Almus Pharmaceuticals Ltd)
'10418811000001108,Zopiclone 7.5mg tablets (Arrow Generics Ltd)
'10418911000001103,Zopiclone 7.5mg tablets (Arrow Generics Ltd)
'10463711000001105,Zimovane 7.5mg tablets (Dowelhurst Ltd)
'10464111000001106,Zimovane 7.5mg tablets (Dowelhurst Ltd)
'10483211000001101,Zimovane 7.5mg tablets (Waymade Healthcare Plc)
'10845311000001109,Zimovane 7.5mg tablets (Waymade Healthcare Plc)
'10483411000001102,Zimovane 7.5mg tablets (Waymade Healthcare Plc)
