searchterms,exclusionterms,cols
hydrocortison,scalp lotion,description
fluocinolon,tablet,
Dioderm,eye,
Mildison,nose,
Synalar 1 in 10,ear,
Canesten HC,oromucosal,
Daktacort,nasal,
Econacort,inhalation,
Fucidin H,inhaler,
Terra-Cortril,capsule,
Timodine,powder,
,oral,
,infusion,
,injection,
,plaster,
,suppositor,
,granule,
,implant,
,pastill,
,enema,
,fluocinolone acetonide 0.025%,
,fluocinolone acetonide 0.00625%,
,lidocaine,
,hydrocortisone butyrate,
,urea,
,hydrocortisone 0.1% topical emulsion,
,tretinoin,
,salicylic,
,sulfur,
