searchterms,exclusionterms,searched_in_column,searchmethod
azathioprine,eye drops,description,default stringr::str_detect() search method
mycophenolate,eye ointment,,
Mycophenolic acid,paraffin,,
cyclosporin,infusion,,
ciclosporin,ointment,,
cyclosporine,cream,,
azathioprin,lotion,,
tacrolimus,mouthwash,,
Imuran,injection,,
Immunoprin,,,
Azapress,,,
Neoral,,,
Vanquoral,,,
Sandimmun,,,
Deximune,,,
Capimune,,,
Capsorin,,,
Prograf,,,
Adoport,,,
Vivadex,,,
Tacni,,,
Capexion,,,
Perixis,,,
CellCept,,,
Myfenax,,,
Arzip,,,
Sirolimus,,,
Rapamune,,,
Myfortic,,,
Ceptava,,,
Envarsus,,,
Modigraf,,,
