readcode,description
SN58.00,Food allergy
SN58C00,Allergy to tomato
SN58B00,Allergy to banana
SN58A00,Allergy to soya
SN58900,Allergy to strawberries
SN58911,Strawberry allergy
SN58800,Mushroom allergy
SN58700,Shellfish allergy
SN58600,Seafood allergy
SN58500,Fish allergy
SN58400,Wheat allergy
SN58300,Nut allergy
SN58200,Peanut allergy
SN58100,Egg protein allergy
SN58000,Egg allergy
8CA4S11,Dietary advice for food allergy
8CA4S00,Dietary education for food allergy
14M1.00,H/O: food allergy
13A7.00,Egg free diet - allergy
